route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,trip_type
9,000009,88____:049::8896008:8896735:8:2443:20241208,Poperinge,11016,,141,,1
14,000015,88____:049::8895505:8895802:10:1501:20241101,Denderleeuw,11016,,142,,1
10,000010,88____:049::8893542:8893401:5:2352:20241110,Termonde,11016,,143,,1
16,000018,88____:049::8891009:8892205:4:2344:20241129,Lichtervelde,11016,,144,,1
9,000019,88____:049::8896735:8896008:8:547:20241124,Courtrai,11017,,145,,1
8,000008,88____:049::8891660:8891009:5:721:20241020,Bruges,11017,,146,,1
3,000003,88____:049::8893401:8894201:3:902:20241027,Lokeren,11017,,147,,1
10,000010,88____:049::8893401:8893542:5:508:20241110,Schellebelle,11017,,148,,1
14,000015,88____:049::8895505:8895802:10:1601:20241101,Denderleeuw,11017,,149,,1
2,000002,88____:049::8896008:8728654:4:659:20241116,Lille Flandres (FR),11017,,150,,1
2,000002,87____:049::8728654:8728600:3:731:20241116,Lille Flandres (FR),11017,,150,,1
5,000005,88____:049::8895802:8895208:9:710:20241201,Zottegem,11017,,151,,1
9,000020,88____:049::8896735:8896008:8:546:20241208,Courtrai,11017,,152,,1
9,000019,88____:049::8896735:8896008:8:648:20241124,Courtrai,11018,,153,,1
8,000008,88____:049::8891660:8891009:5:821:20241020,Bruges,11018,,154,,1
3,000003,88____:049::8893401:8894201:3:1002:20241027,Lokeren,11018,,155,,1
10,000010,88____:049::8893401:8893542:5:608:20241110,Schellebelle,11018,,156,,1
14,000015,88____:049::8895505:8895802:10:1701:20241101,Denderleeuw,11018,,157,,1
2,000002,88____:049::8896008:8728654:4:759:20241116,Lille Flandres (FR),11018,,158,,1
2,000002,87____:049::8728654:8728600:3:831:20241116,Lille Flandres (FR),11018,,158,,1
5,000005,88____:049::8895802:8895208:9:759:20241201,Zottegem,11018,,159,,1
9,000020,88____:049::8896735:8896008:8:646:20241208,Courtrai,11018,,160,,1
9,000019,88____:049::8896735:8896008:8:748:20241124,Courtrai,11019,,161,,1
8,000008,88____:049::8891660:8891009:5:921:20241020,Bruges,11019,,162,,1
3,000003,88____:049::8893401:8894201:3:1102:20241027,Lokeren,11019,,163,,1
10,000010,88____:049::8893401:8893542:5:739:20241110,Schellebelle,11019,,164,,1
14,000015,88____:049::8895505:8895802:10:1801:20241101,Denderleeuw,11019,,165,,1
2,000014,88____:049::8896008:8728654:4:859:20241117,Lille Flandres (FR),11019,,166,,1
2,000014,87____:049::8728654:8728600:3:933:20241117,Lille Flandres (FR),11019,,166,,1
5,000005,88____:049::8895802:8895208:9:859:20241201,Zottegem,11019,,167,,1
9,000020,88____:049::8896735:8896008:8:746:20241208,Courtrai,11019,,168,,1
9,000019,88____:049::8896735:8896008:8:848:20241124,Courtrai,11020,,169,,1
8,000008,88____:049::8891660:8891009:5:1021:20241020,Bruges,11020,,170,,1
3,000003,88____:049::8893401:8894201:3:1202:20241027,Lokeren,11020,,171,,1
14,000015,88____:049::8895505:8895802:10:1901:20241101,Denderleeuw,11020,,172,,1
10,000010,88____:049::8893401:8893542:5:839:20241110,Schellebelle,11020,,173,,1
2,000014,88____:049::8896008:8728654:4:959:20241117,Lille Flandres (FR),11020,,174,,1
2,000014,87____:049::8728654:8728600:3:1033:20241117,Lille Flandres (FR),11020,,174,,1
5,000005,88____:049::8895802:8895208:9:959:20241201,Zottegem,11020,,175,,1
9,000020,88____:049::8896735:8896008:8:846:20241208,Courtrai,11020,,176,,1
9,000019,88____:049::8896735:8896008:8:948:20241124,Courtrai,11021,,177,,1
8,000008,88____:049::8891660:8891009:5:1121:20241020,Bruges,11021,,178,,1
3,000003,88____:049::8893401:8894201:3:1302:20241027,Lokeren,11021,,179,,1
14,000015,88____:049::8895505:8895802:10:2001:20241101,Denderleeuw,11021,,180,,1
10,000010,88____:049::8893401:8893542:5:939:20241110,Schellebelle,11021,,181,,1
2,000014,88____:049::8896008:8728654:4:1059:20241117,Lille Flandres (FR),11021,,182,,1
2,000014,87____:049::8728654:8728600:3:1133:20241117,Lille Flandres (FR),11021,,182,,1
5,000005,88____:049::8895802:8895208:9:1059:20241201,Zottegem,11021,,183,,1
9,000020,88____:049::8896735:8896008:8:946:20241208,Courtrai,11021,,184,,1
9,000019,88____:049::8896735:8896008:8:1048:20241124,Courtrai,11022,,185,,1
8,000008,88____:049::8891660:8891009:5:1221:20241020,Bruges,11022,,186,,1
3,000003,88____:049::8893401:8894201:3:1402:20241027,Lokeren,11022,,187,,1
10,000010,88____:049::8893401:8893542:5:1039:20241110,Schellebelle,11022,,188,,1
14,000015,88____:049::8895505:8895802:10:2101:20241101,Denderleeuw,11022,,189,,1
2,000014,88____:049::8896008:8728654:4:1159:20241117,Lille Flandres (FR),11022,,190,,1
2,000014,87____:049::8728654:8728600:3:1233:20241117,Lille Flandres (FR),11022,,190,,1
5,000005,88____:049::8895802:8895208:9:1159:20241201,Zottegem,11022,,191,,1
9,000020,88____:049::8896735:8896008:8:1046:20241208,Courtrai,11022,,192,,1
9,000019,88____:049::8896735:8896008:8:1148:20241124,Courtrai,11023,,193,,1
8,000008,88____:049::8891660:8891009:5:1321:20241020,Bruges,11023,,194,,1
3,000003,88____:049::8893401:8894201:3:1502:20241027,Lokeren,11023,,195,,1
10,000010,88____:049::8893401:8893542:5:1139:20241110,Schellebelle,11023,,196,,1
14,000015,88____:049::8895505:8895802:10:2201:20241101,Denderleeuw,11023,,197,,1
2,000014,88____:049::8896008:8728654:4:1259:20241117,Lille Flandres (FR),11023,,198,,1
2,000014,87____:049::8728654:8728600:3:1333:20241117,Lille Flandres (FR),11023,,198,,1
5,000005,88____:049::8895802:8895208:9:1259:20241201,Zottegem,11023,,199,,1
9,000020,88____:049::8896735:8896008:8:1146:20241208,Courtrai,11023,,200,,1
9,000019,88____:049::8896735:8896008:8:1248:20241124,Courtrai,11024,,201,,1
8,000008,88____:049::8891660:8891009:5:1421:20241020,Bruges,11024,,202,,1
3,000003,88____:049::8893401:8894201:3:1602:20241027,Lokeren,11024,,203,,1
10,000010,88____:049::8893401:8893542:5:1239:20241110,Schellebelle,11024,,204,,1
14,000013,88____:049::8895505:8895802:10:2301:20241031,Denderleeuw,11024,,205,,1
2,000014,88____:049::8896008:8728654:4:1359:20241117,Lille Flandres (FR),11024,,206,,1
2,000014,87____:049::8728654:8728600:3:1433:20241117,Lille Flandres (FR),11024,,206,,1
5,000005,88____:049::8895802:8895208:9:1359:20241201,Zottegem,11024,,207,,1
9,000020,88____:049::8896735:8896008:8:1246:20241208,Courtrai,11024,,208,,1
9,000019,88____:049::8896735:8896008:8:1348:20241124,Courtrai,11025,,209,,1
8,000008,88____:049::8891660:8891009:5:1521:20241020,Bruges,11025,,210,,1
3,000003,88____:049::8893401:8894201:3:1702:20241027,Lokeren,11025,,211,,1
14,000013,88____:049::8895802:8895505:10:618:20241031,Grammont,11025,,212,,1
10,000010,88____:049::8893401:8893542:5:1339:20241110,Schellebelle,11025,,213,,1
2,000014,88____:049::8896008:8728654:4:1459:20241117,Lille Flandres (FR),11025,,214,,1
2,000014,87____:049::8728654:8728600:3:1533:20241117,Lille Flandres (FR),11025,,214,,1
5,000005,88____:049::8895802:8895208:9:1459:20241201,Zottegem,11025,,215,,1
9,000020,88____:049::8896735:8896008:8:1346:20241208,Courtrai,11025,,216,,1
9,000019,88____:049::8896735:8896008:8:1448:20241124,Courtrai,11026,,217,,1
8,000008,88____:049::8891660:8891009:5:1621:20241020,Bruges,11026,,218,,1
3,000003,88____:049::8893401:8894201:3:1802:20241027,Lokeren,11026,,219,,1
10,000010,88____:049::8893401:8893542:5:1439:20241110,Schellebelle,11026,,220,,1
14,000013,88____:049::8895802:8895505:10:719:20241031,Grammont,11026,,221,,1
14,000017,88____:049::8895802:8895505:10:718:20241101,Grammont,11026,,222,,1
2,000014,88____:049::8896008:8728654:4:1559:20241117,Lille Flandres (FR),11026,,223,,1
2,000014,87____:049::8728654:8728600:3:1633:20241117,Lille Flandres (FR),11026,,223,,1
5,000005,88____:049::8895802:8895208:9:1559:20241201,Zottegem,11026,,224,,1
9,000020,88____:049::8896735:8896008:8:1446:20241208,Courtrai,11026,,225,,1
9,000019,88____:049::8896735:8896008:8:1548:20241124,Courtrai,11027,,226,,1
8,000008,88____:049::8891660:8891009:5:1721:20241020,Bruges,11027,,227,,1
3,000003,88____:049::8893401:8894201:3:1902:20241027,Lokeren,11027,,228,,1
10,000010,88____:049::8893401:8893542:5:1539:20241110,Schellebelle,11027,,229,,1
14,000013,88____:049::8895802:8895505:10:819:20241031,Grammont,11027,,230,,1
14,000017,88____:049::8895802:8895505:10:818:20241101,Grammont,11027,,231,,1
2,000014,88____:049::8896008:8728654:4:1659:20241117,Lille Flandres (FR),11027,,232,,1
2,000014,87____:049::8728654:8728600:3:1733:20241117,Lille Flandres (FR),11027,,232,,1
5,000005,88____:049::8895802:8895208:9:1659:20241201,Zottegem,11027,,233,,1
9,000020,88____:049::8896735:8896008:8:1546:20241208,Courtrai,11027,,234,,1
9,000019,88____:049::8896735:8896008:8:1648:20241124,Courtrai,11028,,235,,1
8,000008,88____:049::8891660:8891009:5:1821:20241020,Bruges,11028,,236,,1
3,000003,88____:049::8893401:8894201:3:2002:20241027,Lokeren,11028,,237,,1
14,000013,88____:049::8895802:8895505:10:919:20241031,Grammont,11028,,238,,1
10,000010,88____:049::8893401:8893542:5:1639:20241110,Schellebelle,11028,,239,,1
14,000017,88____:049::8895802:8895505:10:918:20241101,Grammont,11028,,240,,1
2,000014,88____:049::8896008:8728654:4:1759:20241117,Lille Flandres (FR),11028,,241,,1
2,000014,87____:049::8728654:8728600:3:1833:20241117,Lille Flandres (FR),11028,,241,,1
5,000005,88____:049::8895802:8895208:9:1759:20241201,Zottegem,11028,,242,,1
9,000020,88____:049::8896735:8896008:8:1646:20241208,Courtrai,11028,,243,,1
9,000019,88____:049::8896735:8896008:8:1748:20241124,Courtrai,11029,,244,,1
8,000008,88____:049::8891660:8891009:5:1921:20241020,Bruges,11029,,245,,1
3,000003,88____:049::8893401:8894201:3:2102:20241027,Lokeren,11029,,246,,1
14,000013,88____:049::8895802:8895505:10:1019:20241031,Grammont,11029,,247,,1
10,000010,88____:049::8893401:8893542:5:1739:20241110,Schellebelle,11029,,248,,1
14,000017,88____:049::8895802:8895505:10:1018:20241101,Grammont,11029,,249,,1
2,000014,88____:049::8896008:8728654:4:1859:20241117,Lille Flandres (FR),11029,,250,,1
2,000014,87____:049::8728654:8728600:3:1933:20241117,Lille Flandres (FR),11029,,250,,1
5,000005,88____:049::8895802:8895208:9:1859:20241201,Zottegem,11029,,251,,1
9,000020,88____:049::8896735:8896008:8:1746:20241208,Courtrai,11029,,252,,1
9,000019,88____:049::8896735:8896008:8:1848:20241124,Courtrai,11030,,253,,1
8,000008,88____:049::8891660:8891009:5:2021:20241020,Bruges,11030,,254,,1
3,000003,88____:049::8893401:8894201:3:2202:20241027,Lokeren,11030,,255,,1
10,000010,88____:049::8893401:8893542:5:1839:20241110,Schellebelle,11030,,256,,1
14,000013,88____:049::8895802:8895505:10:1119:20241031,Grammont,11030,,257,,1
14,000017,88____:049::8895802:8895505:10:1118:20241101,Grammont,11030,,258,,1
2,000014,88____:049::8896008:8728654:4:1959:20241117,Lille Flandres (FR),11030,,259,,1
2,000014,87____:049::8728654:8728600:3:2033:20241117,Lille Flandres (FR),11030,,259,,1
5,000005,88____:049::8895802:8895208:9:1959:20241201,Zottegem,11030,,260,,1
9,000020,88____:049::8896735:8896008:8:1846:20241208,Courtrai,11030,,261,,1
9,000019,88____:049::8896735:8896008:8:1948:20241124,Courtrai,11031,,262,,1
8,000008,88____:049::8891660:8891009:5:2206:20241020,Bruges,11031,,263,,1
3,000003,88____:049::8893401:8894201:3:2302:20241027,Lokeren,11031,,264,,1
10,000010,88____:049::8893401:8893542:5:1939:20241110,Schellebelle,11031,,265,,1
14,000013,88____:049::8895802:8895505:10:1219:20241031,Grammont,11031,,266,,1
14,000017,88____:049::8895802:8895505:10:1218:20241101,Grammont,11031,,267,,1
2,000014,88____:049::8896008:8728654:4:2059:20241117,Lille Flandres (FR),11031,,268,,1
2,000014,87____:049::8728654:8728600:3:2133:20241117,Lille Flandres (FR),11031,,268,,1
5,000005,88____:049::8895802:8895208:9:2059:20241201,Zottegem,11031,,269,,1
9,000020,88____:049::8896735:8896008:8:1946:20241208,Courtrai,11031,,270,,1
9,000019,88____:049::8896735:8896008:8:2048:20241124,Courtrai,11032,,271,,1
8,000008,88____:049::8891660:8891009:5:2306:20241020,Bruges,11032,,272,,1
6,000021,88____:049::8892007:8891009:10:125:20241026,Bruges,11032,,273,,1
2,000014,88____:049::8896008:8728654:4:2159:20241117,Lille Flandres (FR),11032,,274,,1
2,000014,87____:049::8728654:8728600:3:2233:20241117,Lille Flandres (FR),11032,,274,,1
10,000010,88____:049::8893401:8893542:5:2039:20241110,Schellebelle,11032,,275,,1
14,000013,88____:049::8895802:8895505:10:1319:20241031,Grammont,11032,,276,,1
14,000017,88____:049::8895802:8895505:10:1318:20241101,Grammont,11032,,277,,1
5,000005,88____:049::8895802:8895208:9:2159:20241201,Zottegem,11032,,278,,1
9,000020,88____:049::8896735:8896008:8:2046:20241208,Courtrai,11032,,279,,1
9,000019,88____:049::8896735:8896008:8:2148:20241124,Courtrai,11033,,280,,1
6,000012,88____:049::8892007:8891009:10:2447:20241025,Bruges,11033,,281,,1
14,000003,88____:049::8895505:8895802:10:701:20241027,Denderleeuw,11033,,282,,1
9,000008,88____:049::8896008:8896735:8:843:20241020,Poperinge,11033,,283,,1
10,000010,88____:049::8893401:8893542:5:2139:20241110,Schellebelle,11033,,284,,1
14,000013,88____:049::8895802:8895505:10:1419:20241031,Grammont,11033,,285,,1
14,000017,88____:049::8895802:8895505:10:1418:20241101,Grammont,11033,,286,,1
17,000022,88____:049::8895000:8892007:9:127:20241115,Gand-Saint-Pierre,11033,,287,,1
18,000014,88____:049::8892007:8892601:7:826:20241117,Audenarde,11033,,288,,1
5,000005,88____:049::8895802:8895208:9:2259:20241201,Zottegem,11033,,289,,1
9,000020,88____:049::8896735:8896008:8:2146:20241208,Courtrai,11033,,290,,1
9,000019,88____:049::8896735:8896008:8:2248:20241124,Courtrai,11034,,291,,1
9,000008,88____:049::8896008:8896735:8:943:20241020,Poperinge,11034,,292,,1
14,000003,88____:049::8895505:8895802:10:801:20241027,Denderleeuw,11034,,293,,1
14,000013,88____:049::8895802:8895505:10:1519:20241031,Grammont,11034,,294,,1
